N,ApproximatedArea,RelativeError
100,0.3,0.809014
600,0.475,0.697606
1100,0.6,0.618028
1600,0.6,0.618028
2100,0.55,0.649859
2600,0.546154,0.652308
3100,0.575806,0.63343
3600,0.569444,0.63748
4100,0.562195,0.642095
4600,0.559783,0.643631
5100,0.596078,0.620525
5600,0.573214,0.63508
6100,0.577049,0.632639
6600,0.576515,0.632979
7100,0.59507,0.621166
7600,0.536842,0.658236
8100,0.574691,0.63414
8600,0.571512,0.636164
9100,0.568132,0.638316
9600,0.574479,0.634275
10100,0.591089,0.623701
10600,0.570755,0.636646
11100,0.567568,0.638675
11600,0.569828,0.637236
12100,0.592562,0.622763
12600,0.565476,0.640007
13100,0.568321,0.638196
13600,0.581618,0.629731
14100,0.578723,0.631573
14600,0.563699,0.641138
15100,0.57351,0.634892
15600,0.5625,0.641901
16100,0.571429,0.636217
16600,0.564759,0.640463
17100,0.552924,0.647998
17600,0.580682,0.630326
18100,0.558564,0.644407
18600,0.557258,0.645238
19100,0.585602,0.627194
19600,0.558418,0.6445
20100,0.561194,0.642733
20600,0.56068,0.64306
21100,0.561374,0.642618
21600,0.564352,0.640722
22100,0.588914,0.625086
22600,0.579646,0.630986
23100,0.563636,0.641178
23600,0.576059,0.633269
24100,0.556017,0.646029
24600,0.567683,0.638602
25100,0.600598,0.617648
25600,0.569727,0.637301
26100,0.579119,0.631322
26600,0.554887,0.646748
27100,0.552768,0.648097
27600,0.580616,0.630368
28100,0.580783,0.630262
28600,0.592133,0.623037
29100,0.571478,0.636186
29600,0.591892,0.62319
30100,0.564286,0.640765
30600,0.563562,0.641225
31100,0.569775,0.63727
31600,0.562975,0.641599
32100,0.571963,0.635877
32600,0.584969,0.627597
33100,0.553927,0.647359
33600,0.580208,0.630628
34100,0.567449,0.638751
34600,0.572832,0.635324
35100,0.551709,0.648771
35600,0.565309,0.640113
36100,0.586842,0.626405
36600,0.582377,0.629247
37100,0.559434,0.643853
37600,0.56742,0.638769
38100,0.563123,0.641505
38600,0.560751,0.643015
39100,0.570077,0.637078
39600,0.574621,0.634185
40100,0.573691,0.634777
40600,0.576355,0.633081
41100,0.578345,0.631814
41600,0.574159,0.634479
42100,0.574228,0.634435
42600,0.578286,0.631851
43100,0.585731,0.627112
43600,0.570528,0.636791
44100,0.570181,0.637011
44600,0.565247,0.640153
45100,0.563304,0.64139
45600,0.580044,0.630733
46100,0.572993,0.635221
46600,0.568133,0.638315
47100,0.577495,0.632355
47600,0.573424,0.634947
48100,0.571518,0.636161
48600,0.569444,0.63748
49100,0.567312,0.638838
49600,0.570766,0.636639
50100,0.567465,0.638741
50600,0.565514,0.639983
51100,0.571037,0.636466
51600,0.565795,0.639804
52100,0.571593,0.636113
52600,0.559316,0.643929
53100,0.562335,0.642006
53600,0.570709,0.636675
54100,0.571072,0.636444
54600,0.574176,0.634468
55100,0.56216,0.642118
55600,0.580126,0.63068
56100,0.583868,0.628298
56600,0.567668,0.638611
57100,0.57373,0.634752
57600,0.571181,0.636375
58100,0.577797,0.632163
58600,0.562884,0.641657
59100,0.581049,0.630093
59600,0.566862,0.639124
60100,0.5802,0.630633
60600,0.572772,0.635362
61100,0.580933,0.630167
61600,0.568182,0.638284
62100,0.58277,0.628997
62600,0.561901,0.642283
63100,0.575119,0.633868
63600,0.570047,0.637097
64100,0.572309,0.635657
64600,0.57856,0.631677
65100,0.573349,0.634995
65600,0.571265,0.636321
66100,0.566566,0.639313
66600,0.576276,0.633131
67100,0.562891,0.641652
67600,0.560577,0.643126
68100,0.577533,0.632331
68600,0.561297,0.642667
69100,0.580101,0.630696
69600,0.56954,0.637419
70100,0.572539,0.63551
70600,0.575779,0.633448
71100,0.570042,0.6371
71600,0.573184,0.6351
72100,0.57448,0.634275
72600,0.572314,0.635654
73100,0.576813,0.63279
73600,0.568478,0.638095
74100,0.581377,0.629884
74600,0.574799,0.634072
75100,0.572903,0.635279
75600,0.57037,0.636891
76100,0.568528,0.638064
76600,0.577415,0.632406
77100,0.570947,0.636524
77600,0.572552,0.635502
78100,0.569974,0.637143
78600,0.573537,0.634875
79100,0.569153,0.637666
79600,0.56451,0.640622
80100,0.569413,0.6375
80600,0.572891,0.635286
81100,0.569975,0.637142
81600,0.566728,0.63921
82100,0.564616,0.640554
82600,0.569249,0.637605
83100,0.578941,0.631435
83600,0.569258,0.637599
84100,0.567955,0.638429
84600,0.578191,0.631912
85100,0.571152,0.636394
85600,0.56472,0.640488
86100,0.578339,0.631818
86600,0.572171,0.635745
87100,0.562744,0.641746
87600,0.575913,0.633362
88100,0.572815,0.635335
88600,0.573025,0.635201
89100,0.57413,0.634497
89600,0.567857,0.638491
90100,0.572031,0.635834
90600,0.573675,0.634787
91100,0.567892,0.638468
91600,0.580349,0.630538
92100,0.56721,0.638903
92600,0.570302,0.636934
93100,0.577551,0.63232
93600,0.566132,0.639589
94100,0.563974,0.640963
94600,0.577854,0.632127
95100,0.572608,0.635467
95600,0.567416,0.638772
96100,0.571176,0.636378
96600,0.570911,0.636547
97100,0.560299,0.643303
97600,0.575051,0.633911
98100,0.571713,0.636036
98600,0.570842,0.636591
99100,0.567709,0.638585
99600,0.57761,0.632282
